"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test","This test will create new user","SUCCESS","2022-06-07T19:29:38.890+01:00[Europe/London]","0.0","3.63"
"Categories CRUD test","This test will verify user added successfully","SUCCESS","2022-06-07T19:29:42.537+01:00[Europe/London]","0.0","0.82"
"Categories CRUD test","This test will update user details","SUCCESS","2022-06-07T19:29:43.357+01:00[Europe/London]","0.0","0.78"
"Categories CRUD test","This test will Check email of new id","SUCCESS","2022-06-07T19:29:44.136+01:00[Europe/London]","0.0","0.74"
"Categories CRUD test","This test will check size of records","SUCCESS","2022-06-07T19:29:44.880+01:00[Europe/London]","0.0","0.8"
"Categories CRUD test","This test will Check name of new id","SUCCESS","2022-06-07T19:29:45.681+01:00[Europe/London]","0.0","0.8"
"Categories CRUD test","This test will check all ID has status 'active' ","SUCCESS","2022-06-07T19:29:46.486+01:00[Europe/London]","0.0","0.76"
"Categories CRUD test","This test will check new id has gender 'male'","SUCCESS","2022-06-07T19:29:47.245+01:00[Europe/London]","0.0","0.77"
"Categories CRUD test","This test will delete the user","SUCCESS","2022-06-07T19:29:48.014+01:00[Europe/London]","0.0","0.78"
